기간,자치구,동,인구,면적,인구밀도
2020,서초구,방배3동,21441,2.4,8934
2020,서초구,방배4동,24036,0.98,24527
2020,서초구,양재1동,44890,5.76,7793
2020,서초구,양재2동,22709,7.58,2996
2020,서초구,내곡동,18146,12.68,1431
2020,강남구,소계,544055,39.5,13773
2020,강남구,신사동,16914,1.89,8949
2020,강남구,논현1동,23734,1.25,18987
2020,강남구,논현2동,21997,1.47,14964
2020,강남구,삼성1동,13600,1.94,7010
2020,강남구,삼성2동,30368,1.24,24490
2020,강남구,대치1동,24922,0.79,31547
2020,강남구,대치4동,20744,0.73,28416
2020,강남구,역삼1동,36771,2.35,15647
2020,강남구,역삼2동,37291,1.15,32427
2020,강남구,도곡1동,22227,1.02,21791
2020,강남구,도곡2동,34042,1.02,33375
2020,강남구,개포1동,6670,1.27,5252
2020,강남구,개포4동,22765,1.49,15279
2020,강남구,일원본동,23945,2.58,9281
2020,강남구,일원1동,15827,0.92,17203
2020,강남구,일원2동,17709,1.24,14281
2020,강남구,수서동,15299,1.43,10699
2020,강남구,세곡동,44475,6.36,6993
2020,강남구,압구정동,27440,2.53,10846
2020,강남구,청담동,27266,2.33,11702
2020,강남구,대치2동,37752,2,18876
2020,강남구,개포2동,22297,2.51,8883
2020,송파구,소계,673926,33.87,19896
2020,송파구,풍납1동,14585,0.77,18942
2020,송파구,풍납2동,25703,1.59,16165
2020,송파구,거여1동,13077,0.51,25641
2020,송파구,거여2동,19330,0.53,36472
2020,송파구,마천1동,19909,0.58,34326
2020,송파구,마천2동,19719,0.89,22156
2020,송파구,방이1동,16298,0.5,32596
2020,송파구,방이2동,26675,0.8,33344
2020,송파구,오륜동,18495,3.17,5834
2020,송파구,오금동,39668,1.65,24041
2020,송파구,송파1동,25190,0.79,31886
2020,송파구,송파2동,20800,0.53,39245
2020,송파구,석촌동,33166,0.95,34912
2020,송파구,삼전동,31839,0.95,33515
2020,송파구,가락본동,27368,1.13,24219
2020,송파구,가락1동,27876,1.34,20803
2020,송파구,가락2동,33204,0.96,34588
2020,송파구,문정1동,20868,0.56,37264
2020,송파구,문정2동,29547,2.2,13430
2020,송파구,잠실본동,29093,0.94,30950
2020,송파구,잠실4동,21798,1.56,13973
2020,송파구,잠실6동,17366,2.79,6224
2020,송파구,잠실7동,9903,0.6,16505
2020,송파구,잠실2동,36216,2.18,16613
2020,송파구,잠실3동,35497,1.49,23823
2020,송파구,장지동,30370,1.37,22168
2020,송파구,위례동,30366,2.55,11908
2020,강동구,소계,463998,24.59,18869
2020,강동구,강일동,35778,2.8,12778
2020,강동구,상일동,33345,2.65,12583
2020,강동구,명일1동,26377,0.61,43241
2020,강동구,명일2동,17555,0.97,18098
2020,강동구,고덕1동,26103,1.73,15088
2020,강동구,고덕2동,22568,2.01,11228
2020,강동구,암사2동,15507,1.18,13142
2020,강동구,암사3동,18420,2.51,7339
2020,강동구,천호1동,27745,0.71,39077
2020,강동구,천호3동,27085,0.79,34285
2020,강동구,성내1동,20353,0.58,35091
2020,강동구,성내2동,24948,0.67,37236
2020,강동구,성내3동,23692,0.71,33369
2020,강동구,둔촌1동,262,0.92,285
2020,강동구,둔촌2동,26413,0.98,26952
2020,강동구,암사1동,35728,1.02,35027
2020,강동구,천호2동,35251,1.57,22453
2020,강동구,길동,46868,2.17,21598
